Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
157.453308,-4.97875118,174.525864,2.03332615,175.149139
161.074738,-5.0641284,176.823669,1.98421633,175.46846
164.779449,-4.80842161,-173.963394,2.04808044,176.339737
168.569382,-4.990767,175.379044,2.03957534,177.067947
172.446472,-4.97088671,175.053726,2.08724642,175.532318
176.412735,-4.86059189,172.463806,2.0401969,175.827454
180.47023,-5.04296112,177.110306,2.04137659,175.63678
184.621048,-5.02959394,-177.874069,1.96842706,175.169678
188.867325,-5.00692368,175.304474,2.0158298,176.126297
193.211273,-4.66925955,170.133102,2.13505745,174.195389
197.655136,-5.01449203,-178.445618,2.05191159,175.63472
202.201202,-5.07266951,177.084732,1.97737467,174.886078
206.851837,-4.90215302,172.462692,2.02312875,173.576553
211.609436,-5.03587055,179.198105,2.08176899,175.253647
216.476456,-4.84385633,172.15451,2.08811855,174.245773
221.455414,-4.96224165,174.642441,2.11081576,173.354309
226.548889,-4.92946434,-175.792328,1.91626763,173.453934
231.759521,-4.88005161,172.461258,2.07519436,173.418671
237.089996,-5.03671932,-179.65683,2.0294919,173.850555
242.54306,-5.02038765,176.359909,2.07701898,173.248154
248.121552,-4.99938822,175.944626,2.10379934,173.714523
253.828354,-5.01973104,179.395645,2.03204393,169.996765
259.666412,-4.93639565,173.144852,2.05495095,172.369263
265.638733,-5.05736256,178.406631,2.03149152,174.323868
271.748413,-5.04447937,-178.58783,1.82207954,169.623535
277.998627,-4.72023773,171.221619,2.40008855,168.419601
284.392609,-5.0183115,175.38913,2.03049493,173.789307
290.933624,-5.09311247,178.025223,1.93255889,171.777237
297.625092,-5.47306728,173.446014,0.993455529,167.406693
304.470459,-4.18727398,171.05571,3.60566926,167.116852
311.473267,-5.22136831,176.448227,1.63468421,171.709534
318.637146,-5.00156593,175.661499,2.09923315,168.883804
325.96579,-4.91873026,176.55043,2.30917501,169.677887
333.463013,-4.89616013,171.648117,2.11628962,165.413193
341.13266,-4.98275661,175.778336,2.14462304,168.866669
348.978699,-4.83257151,172.333679,2.26227903,169.270523
357.005219,-4.943645,174.213745,2.15365529,170.843552
365.216339,-5.00069761,175.758377,2.06443357,164.720215
373.616302,-4.97543812,176.457047,2.17316079,168.964844
382.209473,-4.82621717,173.287048,2.39555216,164.392166
391.000305,-5.00151062,177.637192,2.0952177,168.052322
399.993317,-4.85687113,174.45668,2.38281417,167.603485
409.193176,-4.9665451,176.448822,2.16124535,166.152634
418.604614,-4.66745806,170.862396,2.55788064,164.074646
428.232513,-4.94255018,176.658585,2.23743725,167.762039
438.081848,-4.86738634,174.040375,2.33954906,165.603622
448.157745,-4.90406227,175.764755,2.25433993,162.864838
458.465363,-4.84591627,173.091721,2.34037495,163.937515
469.010071,-4.70689917,172.376129,2.6136415,162.686203
479.797302,-4.78372002,171.47876,2.37567878,162.392746
490.832642,-4.84902191,174.192398,2.38511682,168.247849
502.121796,-5.01342297,-175.025223,2.02772665,-173.014481
513.670593,-4.73368454,169.945053,2.38063025,156.383926
525.485046,-4.89289236,172.383209,2.19490719,162.514114
537.571228,-4.65518093,170.026245,2.55693579,158.434738
549.935364,-4.78447533,173.13916,2.4768765,166.035614
562.583862,-4.80418062,173.021835,2.43023539,164.547928
575.523315,-4.7666254,171.468185,2.41919971,159.775925
588.760376,-4.75490475,171.782654,2.45073199,164.325699
602.30188,-4.78525543,171.059067,2.34608078,157.696609
616.154846,-4.69614363,171.420242,2.57479596,159.620026
630.326416,-4.63217115,170.259415,2.59108543,151.473068
644.823914,-4.65825844,170.531921,2.59174228,156.231339
659.654846,-4.35608435,168.039688,3.00379252,145.20285
674.826904,-4.6351018,168.934464,2.51306772,154.646194
690.3479,-4.7618227,172.493484,2.49627852,162.651779
706.225891,-4.4348321,168.649567,2.9244802,150.224716
722.469116,-4.63409758,169.599518,2.57313681,155.789047
739.085938,-4.56267405,168.98822,2.57168317,144.950134
756.0849,-4.44031906,168.276581,2.88276553,151.32666
773.474854,-4.4326148,168.845306,2.95571899,153.656891
791.264771,-4.37215948,167.757034,2.97729754,152.154602
809.463867,-4.3540473,168.213898,3.06909943,152.065887
828.081543,-4.16257572,166.342606,3.26321101,142.117538
847.127441,-4.29125595,167.87291,3.17492318,150.503601
866.611389,-4.40315866,169.590424,3.09168482,155.844376
886.543457,-4.11304188,169.83194,3.788692,151.621689
906.93396,-4.23632288,163.719498,2.7179563,133.496918
927.793457,-3.51585174,163.921188,4.31586599,130.767258
949.13269,-4.10742664,167.111221,3.44962835,153.928574
970.962769,-4.03356838,166.418991,3.58236957,145.569809
993.294922,-4.03100348,165.317444,3.43118286,140.266678
1016.14069,-3.93043613,165.727768,3.72083068,143.170364
1039.51196,-3.96593642,166.05162,3.67927456,146.640671
1063.42078,-4.00081921,166.070206,3.6008966,147.311768
1087.87952,-3.95348048,164.757797,3.52941012,143.406265
1112.90076,-3.98213696,166.218704,3.66622233,146.940399
1138.49744,-3.73393178,163.817123,3.86919665,138.390915
1164.68286,-3.74504948,164.541168,3.93249226,144.108109
1191.47058,-3.37181211,163.328186,4.57068157,133.043884
1218.87439,-3.41066289,163.151428,4.45328665,135.619766
1246.90845,-3.32218122,162.591705,4.53226852,129.50856
1275.5874,-3.24650764,162.43692,4.67367601,130.753036
1304.9259,-3.46983433,162.658249,4.24023199,133.680298
1334.93921,-3.40539479,162.980759,4.43078136,135.824783
1365.64282,-2.74280262,161.376343,5.48073816,120.064178
1397.05261,-2.88250804,161.989334,5.35365582,126.406036
1429.18481,-2.76879048,161.220306,5.41510773,124.5467
1462.05603,-2.47889972,161.073761,5.9548521,117.525673
1495.68335,-2.28547764,161.801193,6.51643276,114.340874
1530.08411,-2.38256192,160.718124,6.06935501,119.158226
1565.276,-2.61632895,160.775162,5.61307621,123.731064
1601.27734,-2.17368937,160.859146,6.51948595,116.659904
1638.10669,-1.95578921,160.222534,6.74559498,112.220726
1675.7832,-1.84832847,160.105515,6.90585518,110.934921
1714.32617,-1.66664863,160.070312,7.21564293,108.29261
1753.75574,-1.52251434,160.079254,7.46411037,106.589043
1794.09216,-1.49185336,160.203812,7.53588438,110.367416
1835.35632,-0.960836768,160.510742,8.48433304,96.6775742
1877.56958,-0.73380214,160.939407,8.949543,91.9266205
1920.75366,-0.779566348,160.032257,8.51649284,97.2916107
1964.93103,-0.455389887,160.833908,9.18262196,94.4249802
2010.12439,0.011990384,161.608765,9.91126537,79.2703934
2056.35718,0.447507083,164.601654,11.4435625,64.6988449
2103.65332,0.480229437,160.205338,9.37660027,75.6429138
2152.03735,0.754497588,160.17041,9.29758263,73.4645996
2201.53418,1.35014296,163.856247,10.5412951,51.9670448
2252.16943,1.65646827,167.476654,11.5686655,39.6457176
2303.96924,2.11447811,168.264633,10.9892921,31.8018875
2356.96045,2.74713039,165.67424,9.22944927,35.4975319
2411.17065,2.99628735,170.530273,9.81186008,21.5426903
2466.62769,3.09754205,175.808716,10.2018948,1.86771286
2523.36011,2.49482036,179.46994,11.9712152,-6.04430151
2581.39746,2.94040871,-177.833847,10.7169571,-12.4377165
2640.76953,4.45367289,-173.473511,7.71838522,-6.67652464
2701.50732,4.75503111,-165.611542,6.66072178,-12.9673262
2763.64209,3.66880226,-164.346222,7.75129414,-28.7879028
2827.20581,3.62073827,-158.532822,6.8160882,-34.7897911
2892.23145,3.68292356,-150.846909,5.44733953,-35.9155617
2958.75269,3.54766679,-135.896683,3.09780288,-37.156414
3026.80396,2.74379015,-141.474228,4.08046198,-46.3419838
3096.42041,1.94079757,-136.658661,3.22100186,-52.712883
3167.63818,1.59178579,-141.294128,3.97128367,-63.65728
3240.4939,1.02248251,-127.335762,1.46421683,-53.9821129
3315.02515,0.419888467,-127.001137,1.18623829,-60.6857338
3391.27075,-0.645274103,-123.335052,0.102863006,-64.7188492
3469.27002,-2.03788209,-118.079903,-1.49550998,-67.5765228
3549.06323,-1.78329027,-123.917839,-0.560340345,-73.7874527
3630.69165,-2.06275845,-123.074806,-0.882799923,-75.8300476
3714.19751,-3.6036644,-118.562225,-2.66296959,-76.6998215
3799.62402,-3.76353955,-121.509148,-2.47186732,-81.0508881
3887.01538,-4.94562292,-114.244026,-4.29301929,-75.9708023
3976.41675,-7.7324748,-126.959419,-6.04354143,-99.6420059
4067.87427,-6.05076694,-119.96167,-4.80474377,-90.1455917
4161.43555,-6.20368958,-123.032333,-4.69218302,-94.5824814
4257.14844,-6.88209057,-123.795853,-5.34115553,-97.0239182
4355.06299,-4.95488739,-125.524834,-3.27799034,-100.228416
4455.22949,-9.57177258,-126.921402,-8.09403896,-107.293335
4557.69971,-12.9177055,-129.347107,-11.8323126,-110.011475
4662.52686,-8.27987671,-132.115204,-6.3122015,-115.633957
4769.76514,-9.80016804,-133.08522,-8.01719093,-118.008926
4879.46973,-13.7075081,-124.213928,-12.8299961,-108.157799
4991.69775,-11.2439871,-134.466125,-9.63995552,-121.047005
5106.50684,-12.1142292,-137.485947,-10.5407639,-125.273987
5223.95654,-11.0123138,-129.584534,-9.6025238,-117.993347
5344.10742,-8.00812626,-121.14592,-6.90771198,-109.172691
5467.02197,-8.17815304,-126.370903,-6.78949594,-117.155258
5592.76367,-9.5914278,-134.657913,-7.77443171,-126.016251
5721.39746,-14.3874474,-146.497986,-12.9503717,-140.049454
5852.98975,-19.140419,-172.220215,-18.1677628,-166.318039
5987.6084,-13.7221584,-149.376511,-12.1029882,-144.182556
6125.32324,-16.6155186,-153.24765,-15.4128714,-148.931458
6266.20557,-19.2894497,-151.588486,-18.4352074,-146.81424
6410.32812,-19.5600586,-157.895126,-18.6787357,-154.500473
6557.76562,-20.6728611,-165.30365,-19.8612556,-163.578552
6708.59424,-11.6824474,148.499359,-9.82881927,150.741196
6862.89209,-18.9743767,-169.974487,-17.9567871,-169.301239
7020.73877,-11.7740383,-129.777863,-10.5813198,-126.51165
7182.21582,-15.9195499,-141.58049,-14.8526802,-140.625626
7347.40674,-19.5466862,-157.821518,-18.6671791,-156.975189
7516.39697,-17.7398567,-144.894165,-16.8326683,-145.416061
7689.27393,-6.69255066,93.5070877,-7.69359112,84.5910797
7866.12744,-9.0551405,84.1530762,-10.0113754,77.0219803
8047.04834,-18.2346363,74.3753052,-18.5922546,71.6731415
8232.13086,-13.5833426,47.3695869,-14.833786,43.6260948
8421.46973,-31.44734,83.8082581,-31.4758568,82.8498535
8615.16309,-24.7353096,38.6291924,-25.125351,36.3637276
8813.31152,-34.1836586,156.269394,-34.0272942,155.54364
9016.01758,-14.0083961,-39.4892273,-15.3404436,-38.5096855
9223.38574,-19.8094654,149.467026,-19.0304279,148.576294
9435.52344,-14.8066034,143.007996,-13.5880289,143.176727
9652.54004,-33.6071281,133.282913,-33.4829788,132.559082
9874.54883,-22.1296062,-102.441299,-22.038496,-102.788971
10101.6631,-6.02174234,117.427315,-5.79015493,111.614647
10334.001,-13.1920633,76.4863358,-13.8810892,72.8463287
10571.6826,-31.0866489,63.725769,-31.19911,63.8594093
10814.8311,-13.4998999,61.8510246,-14.4703903,56.3081398
11063.5723,-26.4762745,39.4050674,-26.8060131,40.916893
11318.0342,-17.4870739,37.0733986,-18.423254,37.9624863
11578.3486,-22.2599125,-2.19288659,-22.9073124,-0.587998629
11844.6504,-31.0274582,139.264221,-30.8425541,138.790726
12117.0771,-16.2035809,-25.0998688,-17.360548,-23.3028107
12395.7695,-19.757597,170.564133,-18.8307495,170.200714
12680.8721,-0.141927361,-61.2526398,-4.93946743,-41.6055641
12972.5322,-20.61059,178.314514,-19.7611332,178.180618
13270.9004,-18.321043,-147.289627,-17.4241219,-146.509964
13576.1309,-6.44563723,-115.188576,-6.2996192,-109.630531
13888.3818,-14.2270336,145.070221,-12.8020077,139.88176
14207.8145,-12.9427147,138.691452,-11.4801798,131.457275
14534.5938,-13.5623903,151.98082,-11.8487825,143.652649
14868.8896,-5.84050512,116.128082,-5.13772058,97.998291
15210.874,-4.92497063,114.935341,-4.29422379,89.9174118
15560.7246,-8.61971569,129.395935,-6.86206961,107.656136
15918.6211,-5.01396704,117.720184,-4.00628757,84.0971298
16284.749,-5.07803965,127.816116,-3.05547595,95.6583252
16659.2988,2.18355513,135.554306,2.99176931,43.6282959
17042.4629,3.56430435,161.432922,7.08104324,14.4341087
17434.4395,2.26067162,-176.042511,10.6822586,-48.7912979
17835.4316,0.63019985,-167.639771,10.5744743,-107.550308
18245.6465,-1.32072771,-160.013824,7.76092339,-105.558792
18665.2969,-2.95957518,-161.261612,4.97011375,-133.135117
19094.5996,-3.12772107,-168.868469,6.15050364,-142.445663
19533.7754,-3.97693872,-171.524628,2.57400465,167.548767
19983.0527,-3.35278678,162.478912,2.06928754,172.848282
20442.6621,-3.74784017,166.133392,1.09244597,-171.132416
20912.8438,-6.91494799,-48.6415291,-17.8887882,33.6917763
21393.8398,-3.07864189,161.735718,4.8070426,136.119095
21885.8984,-0.864479363,160.660492,8.67490387,97.8270416
